SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	August 04, 2020	August 03, 2020	July 31, 2020	July 30, 2020	July 29, 2020
Chinese yuan	0.1017000000	0.1019820000	0.1013070000	0.1015090000	0.1015920000
Euro	0.8359500000	0.8341920000	0.8384590000	0.8345770000	0.8334580000
Japanese yen	0.0066956300	0.0066987200	0.0067688200	0.0067634400	0.0067737600
U.K. pound	0.9260470000	0.9258210000	0.9297500000	0.9249080000	0.9216010000
U.S. dollar	0.7105400000	0.7114040000	0.7076800000	0.7107020000	0.7108380000
Algerian dinar				0.0055530600	0.0055616700
Australian dollar			0.5104500000	0.5087920000	0.5093150000
Botswana pula		0.0612519000	0.0616389000	0.0618311000	0.0622694000
Brazilian real		0.1340530000	0.1360220000	0.1371190000	0.1383250000
Brunei dollar		0.5170090000		0.5167990000	0.5158480000
Canadian dollar			0.5279620000	0.5291110000	0.5320640000
Chilean peso		0.0009396930	0.0009380080	0.0009361440	0.0009257870
Colombian peso		0.0001905680	0.0001892450	0.0001912090	0.0001911530
Czech koruna		0.0316870000	0.0320348000	0.0317959000	0.0316999000
Danish krone		0.1120230000	0.1126320000	0.1121350000	0.1119840000
Indian rupee		0.0094880600	0.0094644800	0.0094961300	0.0095074100
Israeli New Shekel		0.2083170000	0.2076530000		0.2085180000
Korean won		0.0005982710	0.0005939900	0.0005946300	0.0005947940
Kuwaiti dinar					
Malaysian ringgit		0.1680420000		0.1675200000	0.1672950000
Mauritian rupee		0.0178016000	0.0176942000	0.0177736000	0.0177410000
Mexican peso		0.0314586000	0.0318758000	0.0320530000	0.0323245000
New Zealand dollar		0.4718740000	0.4742160000	0.4729010000	0.4732050000
Norwegian krone		0.0778248000	0.0781250000	0.0778433000	0.0782052000
Omani rial			1.8405200000		1.8487300000
Peruvian sol		0.2010750000	0.2009310000	0.2027100000	
Philippine peso		0.0144847000		0.0144402000	0.0144476000
Polish zloty		0.1897130000	0.1904110000	0.1892730000	0.1890020000
Qatari riyal		0.1954410000			0.1952850000
Russian ruble		0.0095930100	0.0096379900	0.0096874300	0.0098406600
Saudi Arabian riyal					
Singapore dollar		0.5170090000		0.5167990000	0.5158480000
South African rand		0.0411987000	0.0416908000	0.0423182000	0.0431706000
Swedish krona		0.0809895000	0.0817787000	0.0810129000	0.0813093000
Swiss franc		0.7748230000	0.7790830000	0.7771910000	0.7748820000
Thai baht		0.0227817000	0.0226675000	0.0226230000	0.0225706000
Trinidadian dollar		0.1055350000	0.1050810000	0.1056850000	0.1053700000
U.A.E. dirham					0.1935570000
Uruguayan peso		0.0166781000	0.0167000000	0.0167063000	0.0167236000

Currency units per SDR(3)

Currency	August 04, 2020	August 03, 2020	July 31, 2020	July 30, 2020	July 29, 2020
Chinese yuan	9.832840	9.805650	9.870990	9.851340	9.843290
Euro	1.196240	1.198760	1.192660	1.198210	1.199820
Japanese yen	149.351000	149.282000	147.736000	147.854000	147.628000
U.K. pound	1.079860	1.080120	1.075560	1.081190	1.085070
U.S. dollar	1.407380	1.405670	1.413070	1.407060	1.406790
Algerian dinar				180.081000	179.802000
Australian dollar			1.959060	1.965440	1.963420
Botswana pula		16.326000	16.223500	16.173100	16.059300
Brazilian real		7.459740	7.351750	7.292940	7.229350
Brunei dollar		1.934200		1.934990	1.938560
Canadian dollar			1.894080	1.889960	1.879470
Chilean peso		1,064.180000	1,066.090000	1,068.210000	1,080.160000
Colombian peso		5,247.470000	5,284.160000	5,229.880000	5,231.410000
Czech koruna		31.558700	31.216100	31.450600	31.545800
Danish krone		8.926740	8.878470	8.917820	8.929850
Indian rupee		105.396000	105.658000	105.306000	105.181000
Israeli New Shekel		4.800380	4.815730		4.795750
Korean won		1,671.480000	1,683.530000	1,681.720000	1,681.250000
Kuwaiti dinar					
Malaysian ringgit		5.950890		5.969440	5.977460
Mauritian rupee		56.174700	56.515700	56.263200	56.366600
Mexican peso		31.787800	31.371800	31.198300	30.936300
New Zealand dollar		2.119210	2.108740	2.114610	2.113250
Norwegian krone		12.849400	12.800000	12.846300	12.786900
Omani rial			0.543325		0.540912
Peruvian sol		4.973270	4.976830	4.933160	
Philippine peso		69.038400		69.251100	69.215600
Polish zloty		5.271120	5.251800	5.283370	5.290950
Qatari riyal		5.116630			5.120720
Russian ruble		104.243000	103.756000	103.227000	101.619000
Saudi Arabian riyal					
Singapore dollar		1.934200		1.934990	1.938560
South African rand		24.272600	23.986100	23.630500	23.163900
Swedish krona		12.347300	12.228100	12.343700	12.298700
Swiss franc		1.290620	1.283560	1.286680	1.290520
Thai baht		43.894900	44.116000	44.202800	44.305400
Trinidadian dollar		9.475530	9.516470	9.462080	9.490370
U.A.E. dirham					5.166440
Uruguayan peso		59.958900	59.880200	59.857700	59.795700


(1) Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
